"state","topic_0","topic_1","topic_2","topic_3","topic_4","topic_5","topic_6","topic_7","topic_8","topic_9","topic_10","topic_11","topic_12","topic_13","topic_14","topic_15","topic_16","topic_17","topic_18","topic_19","topic_20","topic_21","topic_22","topic_23","topic_24","topic_25","topic_26","topic_27","topic_28","topic_29"
"Alabama","1","1","1","1","0","1","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1","0"
"Alaska","1","1","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","1","0"
"Arizona","1","1","0","1","0","0","1","1","0","0","0","1","0","0","0","1","0","0","1","1","0","0","0","0","1","0","0","0","1","0"
"Arkansas","1","1","1","0","0","0","1","1","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0"
"California","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","1","1","0","1","0","0","1","0","1","0","1","1"
"Colorado","1","1","1","0","1","0","1","1","1","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","1","0","1","0"
"Connecticut","1","1","1","1","1","1","1","1","1","0","0","1","0","0","0","1","0","0","1","1","0","1","0","0","1","0","0","0","1","0"
"Delaware","1","1","1","1","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","1","0","0","0","1","0"
"District of Columbia","1","1","1","1","0","0","1","1","1","0","0","0","0","0","0","1","0","0","1","0","0","1","1","0","1","0","0","0","1","0"
"Florida","1","1","1","0","0","1","1","1","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","1","0","0","0","1","0"
"Georgia","1","1","1","0","0","1","0","0","0","0","0","1","0","0","0","0","1","0","1","1","0","0","1","0","1","0","0","0","1","0"
"Hawaii","1","1","1","1","1","1","1","0","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","1","0"
"Idaho","1","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"Illinois","1","1","1","1","0","0","1","1","0","1","0","0","0","0","0","1","0","0","1","1","0","0","0","0","1","0","0","0","1","0"
"Indiana","1","1","1","1","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","1","0"
"Iowa","1","1","1","1","1","1","0","1","1","0","0","1","0","0","0","1","0","0","1","1","0","0","0","0","1","0","1","0","0","0"
"Kansas","1","1","1","1","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","0","0","0","0"
"Kentucky","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","1","0","1","0","0","0"
"Louisiana","1","1","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","1","0"
"Maine","1","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0"
"Maryland","1","1","1","1","0","1","1","1","1","0","0","0","0","0","0","0","0","0","1","1","0","1","1","0","1","0","1","0","1","0"
"Massachusetts","1","1","0","1","0","1","1","1","0","1","0","1","0","0","0","0","0","0","1","1","0","0","0","0","1","0","1","0","1","0"
"Michigan","1","1","1","1","1","1","0","1","1","0","0","1","0","0","0","0","0","0","1","0","1","1","1","0","1","0","0","0","1","0"
"Minnesota","1","1","1","1","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","1","0"
"Mississippi","1","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0"
"Missouri","1","1","0","0","0","0","1","1","1","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","0","1","0","1","0"
"Montana","1","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0"
"Nebraska","1","1","1","0","1","1","1","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","1","0"
"Nevada","1","1","1","1","0","0","1","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","1","0","1","1"
"New Hampshire","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","1","0","0","0","1","0"
"New Jersey","1","1","1","1","1","1","1","1","1","0","0","1","0","0","0","0","1","0","1","1","0","1","0","0","1","0","1","0","1","0"
"New Mexico","1","1","1","1","1","0","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0"
"New York","1","1","1","1","1","1","1","1","1","0","0","1","0","0","0","0","0","0","1","0","1","0","0","0","1","0","1","0","1","0"
"North Carolina","1","1","1","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0","1","0","0","0","0","0"
"North Dakota","1","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0","1","0","1","0"
"Ohio","1","1","1","1","0","0","1","1","1","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","0","1","0"
"Oklahoma","1","1","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","1","0"
"Oregon","1","1","1","1","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0"
"Pennsylvania","1","1","1","1","1","0","0","1","1","1","0","1","0","0","0","0","1","0","1","1","0","0","0","0","1","0","0","0","1","0"
"Rhode Island","1","1","1","1","1","1","0","1","1","0","0","0","0","0","0","1","0","0","1","1","0","1","0","0","1","0","1","0","1","0"
"South Carolina","1","1","1","1","0","0","1","1","1","0","0","1","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","0","0","0"
"South Dakota","1","1","1","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","0","0","0","0","0"
"Tennessee","1","1","0","1","1","0","1","1","1","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","1","0","1","0","0","0"
"Texas","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","1","0"
"Utah","1","1","1","1","1","1","1","0","1","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","1","0","1","0","1","0"
"Vermont","1","1","0","1","0","0","0","1","1","0","0","1","0","0","0","1","0","0","0","1","0","1","0","0","1","0","0","0","0","0"
"Virginia","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","1","0","0","1","1","1","0","0","0","1","1","0","0","1","0"
"Washington","1","1","1","1","0","1","1","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0","1","0","1","0","1","0"
"West Virginia","1","1","1","1","1","0","1","1","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","1","0"
"Wisconsin","1","1","1","1","0","1","1","0","1","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0","1","0"
"Wyoming","1","1","1","0","0","1","0","1","1","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","1","0"
